id,label,description,x,y,weight,cluster
1,acad mgmt j,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACADEMY OF MANAGEMENT JOURNAL</TD></TR><TR><TD>Subject category:</TD><TD>BUSINESS<BR>MANAGEMENT</TD></TR></TABLE>",35.538002,13.091681,262.270000,3
2,acc anal pr,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACCIDENT ANALYSIS AND PREVENTION</TD></TR><TR><TD>Subject category:</TD><TD>ERGONOMICS<BR>PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH<BR>SOCIAL SCIENCES, INTERDISCIPLINARY<BR>TRANSPORTATION</TD></TR></TABLE>",23.030676,12.821177,199.780000,1
3,acc review,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACCOUNTING REVIEW</TD></TR><TR><TD>Subject category:</TD><TD>BUSINESS, FINANCE</TD></TR></TABLE>",52.556975,5.407259,79.427000,3
4,acc chem re,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACCOUNTS OF CHEMICAL RESEARCH</TD></TR><TR><TD>Subject category:</TD><TD>CHEMISTRY, MULTIDISCIPLINARY</TD></TR></TABLE>",3.675901,-12.348047,659.120000,6
5,act anae sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA ANAESTHESIOLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>ANESTHESIOLOGY</TD></TR></TABLE>",-7.573540,40.290611,186.530000,7
6,act astrona,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA ASTRONAUTICA</TD></TR><TR><TD>Subject category:</TD><TD>ENGINEERING, AEROSPACE</TD></TR></TABLE>",30.732885,-21.186774,88.140000,8
7,act bioch p,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA BIOCHIMICA POLONICA</TD></TR><TR><TD>Subject category:</TD><TD>BIOCHEMISTRY & MOLECULAR BIOLOGY</TD></TR></TABLE>",-32.680048,-1.556479,58.571000,11
8,act chir b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA CHIRURGICA BELGICA</TD></TR><TR><TD>Subject category:</TD><TD>SURGERY</TD></TR></TABLE>",-24.263321,40.522668,31.679000,12
9,act cryst a,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA CRYSTALLOGRAPHICA SECTION A</TD></TR><TR><TD>Subject category:</TD><TD>CRYSTALLOGRAPHY</TD></TR></TABLE>",5.448325,-16.650523,86.779000,5
10,act cryst b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE</TD></TR><TR><TD>Subject category:</TD><TD>CRYSTALLOGRAPHY</TD></TR></TABLE>",4.929662,-15.534757,344.900000,6
11,act cytol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA CYTOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>CELL BIOLOGY<BR>PATHOLOGY</TD></TR></TABLE>",-29.929379,31.918261,98.146000,12
12,act der-ven,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA DERMATO-VENEREOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>DERMATOLOGY</TD></TR></TABLE>",-39.867838,29.108463,65.666000,12
13,act haemat,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA HAEMATOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>HEMATOLOGY</TD></TR></TABLE>",-29.189922,21.580975,50.039000,12
14,act math,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA MATHEMATICA</TD></TR><TR><TD>Subject category:</TD><TD>MATHEMATICS</TD></TR></TABLE>",50.190495,-29.565989,78.548000,8
15,act mechan,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA MECHANICA</TD></TR><TR><TD>Subject category:</TD><TD>MECHANICS</TD></TR></TABLE>",34.934823,-31.430180,91.670000,8
16,act neuroch,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA NEUROCHIRURGICA</TD></TR><TR><TD>Subject category:</TD><TD>CLINICAL NEUROLOGY<BR>SURGERY</TD></TR></TABLE>",-1.950886,44.275300,177.120000,7
17,act neur sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA NEUROLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>CLINICAL NEUROLOGY</TD></TR></TABLE>",5.616396,43.362753,132.800000,4
18,act neurop,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA NEUROPATHOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>CLINICAL NEUROLOGY<BR>NEUROSCIENCES<BR>PATHOLOGY</TD></TR></TABLE>",7.738006,44.861790,132.520000,4
19,act obst sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>OBSTETRICS & GYNECOLOGY</TD></TR></TABLE>",-13.942636,35.289566,212.550000,12
20,act odon sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA ODONTOLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>DENTISTRY, ORAL SURGERY & MEDICINE</TD></TR></TABLE>",-40.918195,42.931262,66.434000,7
21,act orth sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA ORTHOPAEDICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>ORTHOPEDICS</TD></TR></TABLE>",-7.093450,53.642654,134.010000,7
22,act oto-lar,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA OTO-LARYNGOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>OTORHINOLARYNGOLOGY</TD></TR></TABLE>",-25.085344,48.390622,188.860000,7
23,act phy p a,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PHYSICA POLONICA A</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, MULTIDISCIPLINARY</TD></TR></TABLE>",8.358355,-44.617003,46.998000,5
24,act phy p b,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PHYSICA POLONICA B</TD></TR><TR><TD>Subject category:</TD><TD>PHYSICS, MULTIDISCIPLINARY</TD></TR></TABLE>",24.283441,-44.062091,96.534000,8
25,act physl s,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PHYSIOLOGICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>PHYSIOLOGY</TD></TR></TABLE>",-46.625876,20.367343,116.870000,10
26,act protoz,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PROTOZOOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>MICROBIOLOGY</TD></TR></TABLE>",-44.470338,-10.273179,33.706000,14
27,act psyc sc,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PSYCHIATRICA SCANDINAVICA</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHIATRY</TD></TR></TABLE>",15.808769,37.833660,255.390000,1
28,act psychol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA PSYCHOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>PSYCHOLOGY, EXPERIMENTAL</TD></TR></TABLE>",18.890150,16.682342,63.076000,3
29,act theriol,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA THERIOLOGICA</TD></TR><TR><TD>Subject category:</TD><TD>ZOOLOGY</TD></TR></TABLE>",-44.834246,-27.592090,41.429000,14
30,act trop,"<TABLE VALIGN='top'><TR><TD>Journal name:</TD><TD>ACTA TROPICA</TD></TR><TR><TD>Subject category:</TD><TD>PARASITOLOGY<BR>TROPICAL MEDICINE</TD></TR></TABLE>",-41.968511,-4.402257,144.680000,12
